Iphone 11|IPS LCD : 828 x 1792 Pixels|4GB|Apple A13 Bionic 6 nhân|iOS 13|Pin chuẩn Li-Ion : 3110 mAh|Chính 12 MP & Phụ 12 MP
Iphone Xs Max|OLED : 6.5" : Super Retina : 1242 x 2688 Pixels|4GB|Apple A12 Bionic 6 nhân|iOS 13|Pin chuẩn Li-Ion : 3174 mAh|Chính 12 MP & Phụ 12 MP
Huawei P40 Pro|OLED : 6.58" : 2K+ (1200 x 2640 Pixels)|8 GB|Kirin 990 8 nhân|EMUI 10|Pin chuẩn Li-Po : 4200 mAh|Chính 50 MP & Phụ 40 MP,12 MP,TOF 3D
Iphone 7 Plus|LED-backlit IPS LCD : 5.5" : Retina HD|3 GB|Apple A10 Fusion 4 nhân|iOS 12|Pin chuẩn Li-Ion : 2900 mAh|Chính 12 MP & Phụ 12 MP
Iphone 8 Plus|LED-backlit IPS LCD : 5.5" : Retina HD|3GB|Apple A11 Bionic 6 nhân|iOS 13|Pin chuẩn Li-Ion :2691 mAh|Chính 12 MP & Phụ 12 MP
Iphone 11 Pro|OLED : 5.8" : Super Retina XDR : 1125 x 2436 Pixels|4 GB|Apple A13 Bionic 6 nhân|iOS 13|Pin chuẩn Li-Ion : 3046 mAh|3 camera 12 MP
Iphone 11 Pro Max|OLED : 6.5" : Super Retina XDR : 1242 x 2688 Pixels|4 GB|Apple A13 Bionic 6 nhân|iOS 13|Pin chuẩn Li-Ion : 3969 mAh|3 camera 12 MP
